                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.16361,                0.66667,                      1,                0.15161,                      0,                      0,                      0
                      1,                0.16359,                0.66667,                      1,                0.15271,             7.1047e-06,             7.1047e-06,             7.1047e-06
                      2,                 0.1622,                0.73333,                      1,                0.15149,             1.4139e-05,             1.4139e-05,             1.4139e-05
                      3,                0.15406,                0.73333,                      1,                 0.1488,             2.1102e-05,             2.1102e-05,             2.1102e-05
                      4,                0.14303,                0.73333,                      1,                0.14502,             2.7995e-05,             2.7995e-05,             2.7995e-05
                      5,                0.13029,                0.73333,                      1,                0.13989,             3.4816e-05,             3.4816e-05,             3.4816e-05
                      6,                 0.1155,                0.73333,                      1,                0.13379,             4.1568e-05,             4.1568e-05,             4.1568e-05
                      7,                0.10065,                0.86667,                      1,                0.12646,             4.8248e-05,             4.8248e-05,             4.8248e-05
                      8,                 0.0851,                0.93333,                      1,                0.11871,             5.4858e-05,             5.4858e-05,             5.4858e-05
                      9,                0.07043,                      1,                      1,                 0.1109,             6.1397e-05,             6.1397e-05,             6.1397e-05
                     10,                0.05723,                      1,                      1,                0.10358,             6.7866e-05,             6.7866e-05,             6.7866e-05
                     11,                0.04575,                      1,                      1,                0.09717,             7.4263e-05,             7.4263e-05,             7.4263e-05
                     12,                0.03626,                      1,                      1,                0.09167,             8.0591e-05,             8.0591e-05,             8.0591e-05
                     13,                 0.0286,                      1,                      1,                0.08728,             8.6847e-05,             8.6847e-05,             8.6847e-05
                     14,                0.02234,                      1,                      1,                0.08392,             9.3033e-05,             9.3033e-05,             9.3033e-05
                     15,                0.01744,                      1,                      1,                0.08136,             9.9148e-05,             9.9148e-05,             9.9148e-05
                     16,                0.01362,                      1,                      1,                0.07941,             0.00010519,             0.00010519,             0.00010519
                     17,                 0.0107,                      1,                      1,                0.07941,             0.00011117,             0.00011117,             0.00011117
                     18,                 0.0107,                      1,                      1,                0.07788,             0.00011707,             0.00011707,             0.00011707
                     19,                0.00832,                      1,                      1,                0.07788,              0.0001229,              0.0001229,              0.0001229
                     20,                0.00832,                      1,                      1,                0.07678,             0.00012866,             0.00012866,             0.00012866
                     21,                0.00645,                      1,                      1,                0.07678,             0.00013435,             0.00013435,             0.00013435
                     22,                0.00645,                      1,                      1,                0.07593,             0.00013997,             0.00013997,             0.00013997
                     23,                0.00501,                      1,                      1,                0.07593,             0.00014552,             0.00014552,             0.00014552
                     24,                0.00501,                      1,                      1,                0.07532,               0.000151,               0.000151,               0.000151
                     25,                 0.0039,                      1,                      1,                0.07532,             0.00015641,             0.00015641,             0.00015641
                     26,                 0.0039,                      1,                      1,                0.07489,             0.00016175,             0.00016175,             0.00016175
                     27,                0.00305,                      1,                      1,                0.07489,             0.00016701,             0.00016701,             0.00016701
                     28,                0.00305,                      1,                      1,                0.07452,             0.00017221,             0.00017221,             0.00017221
                     29,                 0.0024,                      1,                      1,                0.07452,             0.00017734,             0.00017734,             0.00017734
                     30,                 0.0024,                      1,                      1,                0.07428,             0.00018239,             0.00018239,             0.00018239
                     31,                0.00191,                      1,                      1,                0.07428,             0.00018738,             0.00018738,             0.00018738
                     32,                0.00191,                      1,                      1,                 0.0741,             0.00019229,             0.00019229,             0.00019229
                     33,                0.00154,                      1,                      1,                 0.0741,             0.00019713,             0.00019713,             0.00019713
                     34,                0.00154,                      1,                      1,                0.07397,              0.0002019,              0.0002019,              0.0002019
                     35,                0.00125,                      1,                      1,                0.07397,              0.0002066,              0.0002066,              0.0002066
                     36,                0.00125,                      1,                      1,                0.07385,             0.00021124,             0.00021124,             0.00021124
                     37,                0.00103,                      1,                      1,                0.07385,              0.0002158,              0.0002158,              0.0002158
                     38,                0.00103,                      1,                      1,                0.07379,             0.00022028,             0.00022028,             0.00022028
                     39,                0.00085,                      1,                      1,                0.07379,              0.0002247,              0.0002247,              0.0002247
                     40,                0.00085,                      1,                      1,                0.07373,             0.00022905,             0.00022905,             0.00022905
                     41,                0.00071,                      1,                      1,                0.07373,             0.00023333,             0.00023333,             0.00023333
                     42,                0.00071,                      1,                      1,                0.07367,             0.00023753,             0.00023753,             0.00023753
                     43,                0.00061,                      1,                      1,                0.07367,             0.00024167,             0.00024167,             0.00024167
                     44,                0.00061,                      1,                      1,                0.07361,             0.00024574,             0.00024574,             0.00024574
                     45,                0.00052,                      1,                      1,                0.07361,             0.00024973,             0.00024973,             0.00024973
                     46,                0.00052,                      1,                      1,                0.07361,             0.00025365,             0.00025365,             0.00025365
                     47,                0.00045,                      1,                      1,                0.07361,             0.00025751,             0.00025751,             0.00025751
                     48,                0.00045,                      1,                      1,                0.07361,             0.00026129,             0.00026129,             0.00026129
                     49,                0.00039,                      1,                      1,                0.07361,               0.000265,               0.000265,               0.000265
                     50,                0.00039,                      1,                      1,                0.07355,             0.00026864,             0.00026864,             0.00026864
                     51,                0.00034,                      1,                      1,                0.07355,             0.00027221,             0.00027221,             0.00027221
                     52,                0.00034,                      1,                      1,                0.07355,             0.00027571,             0.00027571,             0.00027571
                     53,                0.00034,                      1,                      1,                0.07355,             0.00027914,             0.00027914,             0.00027914
                     54,                 0.0003,                      1,                      1,                0.07355,              0.0002825,              0.0002825,              0.0002825
                     55,                 0.0003,                      1,                      1,                0.07355,             0.00028579,             0.00028579,             0.00028579
                     56,                 0.0003,                      1,                      1,                0.07355,               0.000289,               0.000289,               0.000289
                     57,                0.00027,                      1,                      1,                0.07355,             0.00029215,             0.00029215,             0.00029215
                     58,                0.00027,                      1,                      1,                0.07355,             0.00029523,             0.00029523,             0.00029523
                     59,                0.00027,                      1,                      1,                0.07349,             0.00029823,             0.00029823,             0.00029823
                     60,                0.00024,                      1,                      1,                0.07349,             0.00030117,             0.00030117,             0.00030117
                     61,                0.00024,                      1,                      1,                0.07349,             0.00030403,             0.00030403,             0.00030403
                     62,                0.00024,                      1,                      1,                0.07349,             0.00030682,             0.00030682,             0.00030682
                     63,                0.00022,                      1,                      1,                0.07349,             0.00030954,             0.00030954,             0.00030954
                     64,                0.00022,                      1,                      1,                0.07349,              0.0003122,              0.0003122,              0.0003122
                     65,                0.00022,                      1,                      1,                0.07349,             0.00031478,             0.00031478,             0.00031478
                     66,                 0.0002,                      1,                      1,                0.07349,             0.00031729,             0.00031729,             0.00031729
                     67,                 0.0002,                      1,                      1,                0.07349,             0.00031973,             0.00031973,             0.00031973
                     68,                 0.0002,                      1,                      1,                0.07349,             0.00032209,             0.00032209,             0.00032209
                     69,                0.00018,                      1,                      1,                0.07349,             0.00032439,             0.00032439,             0.00032439
                     70,                0.00018,                      1,                      1,                0.07349,             0.00032662,             0.00032662,             0.00032662
                     71,                0.00018,                      1,                      1,                0.07349,             0.00032878,             0.00032878,             0.00032878
                     72,                0.00017,                      1,                      1,                0.07349,             0.00033086,             0.00033086,             0.00033086
                     73,                0.00017,                      1,                      1,                0.07349,             0.00033288,             0.00033288,             0.00033288
                     74,                0.00017,                      1,                      1,                0.07349,             0.00033482,             0.00033482,             0.00033482
                     75,                0.00015,                      1,                      1,                0.07349,              0.0003367,              0.0003367,              0.0003367
                     76,                0.00015,                      1,                      1,                0.07349,              0.0003385,              0.0003385,              0.0003385
                     77,                0.00015,                      1,                      1,                0.07349,             0.00034023,             0.00034023,             0.00034023
                     78,                0.00014,                      1,                      1,                0.07349,             0.00034189,             0.00034189,             0.00034189
                     79,                0.00014,                      1,                      1,                0.07349,             0.00034348,             0.00034348,             0.00034348
                     80,                0.00014,                      1,                      1,                0.07349,               0.000345,               0.000345,               0.000345
                     81,                0.00013,                      1,                      1,                0.07349,             0.00034645,             0.00034645,             0.00034645
                     82,                0.00013,                      1,                      1,                0.07349,             0.00034783,             0.00034783,             0.00034783
                     83,                0.00013,                      1,                      1,                0.07349,             0.00034914,             0.00034914,             0.00034914
                     84,                0.00012,                      1,                      1,                0.07349,             0.00035038,             0.00035038,             0.00035038
                     85,                0.00012,                      1,                      1,                0.07349,             0.00035155,             0.00035155,             0.00035155
                     86,                0.00012,                      1,                      1,                0.07349,             0.00035264,             0.00035264,             0.00035264
                     87,                0.00012,                      1,                      1,                0.07349,             0.00035367,             0.00035367,             0.00035367
                     88,                0.00011,                      1,                      1,                0.07349,             0.00035462,             0.00035462,             0.00035462
                     89,                0.00011,                      1,                      1,                0.07349,             0.00035551,             0.00035551,             0.00035551
                     90,                0.00011,                      1,                      1,                0.07349,             0.00035632,             0.00035632,             0.00035632
                     91,                0.00011,                      1,                      1,                0.07349,             0.00035706,             0.00035706,             0.00035706
                     92,                0.00011,                      1,                      1,                0.07349,             0.00035774,             0.00035774,             0.00035774
                     93,                0.00011,                      1,                      1,                0.07349,             0.00035834,             0.00035834,             0.00035834
                     94,                0.00011,                      1,                      1,                0.07349,             0.00035887,             0.00035887,             0.00035887
                     95,                0.00011,                      1,                      1,                0.07349,             0.00035933,             0.00035933,             0.00035933
                     96,                 0.0001,                      1,                      1,                0.07349,             0.00035972,             0.00035972,             0.00035972
                     97,                 0.0001,                      1,                      1,                0.07349,             0.00036004,             0.00036004,             0.00036004
                     98,                 0.0001,                      1,                      1,                0.07349,             0.00036029,             0.00036029,             0.00036029
                     99,                 0.0001,                      1,                      1,                0.07349,             0.00036046,             0.00036046,             0.00036046
                    100,                 0.0001,                      1,                      1,                0.07349,             0.00036057,             0.00036057,             0.00036057
                    101,                 0.0001,                      1,                      1,                0.07349,             0.00036057,             0.00036057,             0.00036057
                    102,                 0.0001,                      1,                      1,                0.07349,             0.00035704,             0.00035704,             0.00035704
                    103,                 0.0001,                      1,                      1,                0.07349,              0.0003535,              0.0003535,              0.0003535
                    104,                  9e-05,                      1,                      1,                0.07349,             0.00034997,             0.00034997,             0.00034997
                    105,                  9e-05,                      1,                      1,                0.07349,             0.00034643,             0.00034643,             0.00034643
                    106,                  9e-05,                      1,                      1,                0.07349,              0.0003429,              0.0003429,              0.0003429
                    107,                  9e-05,                      1,                      1,                0.07349,             0.00033936,             0.00033936,             0.00033936
                    108,                  9e-05,                      1,                      1,                0.07349,             0.00033583,             0.00033583,             0.00033583
                    109,                  9e-05,                      1,                      1,                0.07349,              0.0003323,              0.0003323,              0.0003323
                    110,                  9e-05,                      1,                      1,                0.07349,             0.00032876,             0.00032876,             0.00032876
                    111,                  9e-05,                      1,                      1,                0.07349,             0.00032523,             0.00032523,             0.00032523
                    112,                  9e-05,                      1,                      1,                0.07349,             0.00032169,             0.00032169,             0.00032169
                    113,                  9e-05,                      1,                      1,                0.07349,             0.00031816,             0.00031816,             0.00031816
                    114,                  9e-05,                      1,                      1,                0.07349,             0.00031462,             0.00031462,             0.00031462
                    115,                  9e-05,                      1,                      1,                0.07349,             0.00031109,             0.00031109,             0.00031109
                    116,                  8e-05,                      1,                      1,                0.07349,             0.00030756,             0.00030756,             0.00030756
                    117,                  8e-05,                      1,                      1,                0.07349,             0.00030402,             0.00030402,             0.00030402
                    118,                  8e-05,                      1,                      1,                0.07349,             0.00030049,             0.00030049,             0.00030049
                    119,                  8e-05,                      1,                      1,                0.07349,             0.00029695,             0.00029695,             0.00029695
                    120,                  8e-05,                      1,                      1,                0.07349,             0.00029342,             0.00029342,             0.00029342
                    121,                  8e-05,                      1,                      1,                0.07349,             0.00028988,             0.00028988,             0.00028988
                    122,                  8e-05,                      1,                      1,                0.07349,             0.00028635,             0.00028635,             0.00028635
                    123,                  8e-05,                      1,                      1,                0.07343,             0.00028282,             0.00028282,             0.00028282
                    124,                  8e-05,                      1,                      1,                0.07343,             0.00027928,             0.00027928,             0.00027928
                    125,                  8e-05,                      1,                      1,                0.07343,             0.00027575,             0.00027575,             0.00027575
                    126,                  8e-05,                      1,                      1,                0.07343,             0.00027221,             0.00027221,             0.00027221
                    127,                  8e-05,                      1,                      1,                0.07343,             0.00026868,             0.00026868,             0.00026868
                    128,                  8e-05,                      1,                      1,                0.07343,             0.00026514,             0.00026514,             0.00026514
                    129,                  8e-05,                      1,                      1,                0.07343,             0.00026161,             0.00026161,             0.00026161
                    130,                  8e-05,                      1,                      1,                0.07343,             0.00025808,             0.00025808,             0.00025808
                    131,                  8e-05,                      1,                      1,                0.07343,             0.00025454,             0.00025454,             0.00025454
                    132,                  7e-05,                      1,                      1,                0.07343,             0.00025101,             0.00025101,             0.00025101
                    133,                  7e-05,                      1,                      1,                0.07343,             0.00024747,             0.00024747,             0.00024747
                    134,                  7e-05,                      1,                      1,                0.07343,             0.00024394,             0.00024394,             0.00024394
                    135,                  7e-05,                      1,                      1,                0.07343,              0.0002404,              0.0002404,              0.0002404
                    136,                  7e-05,                      1,                      1,                0.07343,             0.00023687,             0.00023687,             0.00023687
                    137,                  7e-05,                      1,                      1,                0.07343,             0.00023334,             0.00023334,             0.00023334
                    138,                  7e-05,                      1,                      1,                0.07343,              0.0002298,              0.0002298,              0.0002298
                    139,                  7e-05,                      1,                      1,                0.07343,             0.00022627,             0.00022627,             0.00022627
                    140,                  7e-05,                      1,                      1,                0.07343,             0.00022273,             0.00022273,             0.00022273
                    141,                  7e-05,                      1,                      1,                0.07343,              0.0002192,              0.0002192,              0.0002192
                    142,                  7e-05,                      1,                      1,                0.07343,             0.00021566,             0.00021566,             0.00021566
                    143,                  7e-05,                      1,                      1,                0.07343,             0.00021213,             0.00021213,             0.00021213
                    144,                  7e-05,                      1,                      1,                0.07343,              0.0002086,              0.0002086,              0.0002086
                    145,                  7e-05,                      1,                      1,                0.07343,             0.00020506,             0.00020506,             0.00020506
                    146,                  7e-05,                      1,                      1,                0.07343,             0.00020153,             0.00020153,             0.00020153
                    147,                  7e-05,                      1,                      1,                0.07343,             0.00019799,             0.00019799,             0.00019799
                    148,                  7e-05,                      1,                      1,                0.07343,             0.00019446,             0.00019446,             0.00019446
                    149,                  7e-05,                      1,                      1,                0.07343,             0.00019092,             0.00019092,             0.00019092
                    150,                  7e-05,                      1,                      1,                0.07343,             0.00018739,             0.00018739,             0.00018739
                    151,                  7e-05,                      1,                      1,                0.07343,             0.00018385,             0.00018385,             0.00018385
                    152,                  7e-05,                      1,                      1,                0.07343,             0.00018032,             0.00018032,             0.00018032
                    153,                  7e-05,                      1,                      1,                0.07343,             0.00017679,             0.00017679,             0.00017679
                    154,                  7e-05,                      1,                      1,                0.07343,             0.00017325,             0.00017325,             0.00017325
                    155,                  7e-05,                      1,                      1,                0.07343,             0.00016972,             0.00016972,             0.00016972
                    156,                  7e-05,                      1,                      1,                0.07343,             0.00016618,             0.00016618,             0.00016618
                    157,                  7e-05,                      1,                      1,                0.07343,             0.00016265,             0.00016265,             0.00016265
